City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,saint-philippe,-21.3585,55.7679,68.22,74,37,11.07,RE,1624134188
88,san cristobal,7.7669,-72.225,80.78,49,38,6.33,VE,1624134189
89,takapau,-40.0333,176.35,52.18,99,100,9.51,NZ,1624134189
90,pemangkat,1.1667,108.9667,79.12,81,100,5.28,ID,1624134190
91,tomatlan,19.9333,-105.25,77.45,90,100,7.94,MX,1624134190
92,luderitz,-26.6481,15.1594,67.68,40,20,2.77,NA,1624134191
93,port alfred,-33.5906,26.891,64.54,54,12,9.24,ZA,1624133913
94,hasaki,35.7333,140.8333,68.4,95,100,12.33,JP,1624134191
95,narsaq,60.9167,-46.05,52.02,77,100,5.61,GL,1624134192
96,hualmay,-11.0964,-77.6139,69.44,74,55,10.38,PE,1624134192
97,barrow,71.2906,-156.7887,39.22,75,1,11.5,US,1624134011
98,takoradi,4.8845,-1.7554,78.03,85,100,9.69,GH,1624134193
99,samarai,-10.6167,150.6667,78.28,77,99,12.46,PG,1624134193
100,butaritari,3.0707,172.7902,81.59,72,34,2.39,KI,1624134194
101,mar del plata,-38.0023,-57.5575,50.0,63,20,5.99,AR,1624134192
102,broken hill,-31.95,141.4333,43.34,88,0,8.7,AU,1624134194
103,asfi,32.2994,-9.2372,65.97,72,96,20.83,MA,1624134195
104,hobart,-42.8794,147.3294,47.01,93,75,3.44,AU,1624134149
105,faanui,-16.4833,-151.75,80.26,79,8,15.93,PF,1624134196
106,new norfolk,-42.7826,147.0587,46.65,86,93,2.39,AU,1624134196
107,kushima,31.4583,131.2333,71.33,94,100,3.69,JP,1624134197
108,kruisfontein,-34.0033,24.7314,60.33,30,6,6.82,ZA,1624134197
109,tuktoyaktuk,69.4541,-133.0374,69.8,37,40,9.22,CA,1624134197
110,pinawa,50.1489,-95.8811,65.17,59,94,4.61,CA,1624134198
111,ahipara,-35.1667,173.1667,58.77,88,37,15.32,NZ,1624134198
112,jalu,29.0331,21.5482,77.34,46,0,17.54,LY,1624134199
113,north bend,43.4065,-124.2243,84.24,62,1,26.46,US,1624133902
114,general roca,-39.0333,-67.5833,43.2,51,0,4.81,AR,1624134199
115,anchorage,61.2181,-149.9003,59.95,86,90,4.0,US,1624134013
116,bambanglipuro,-7.95,110.2833,54.61,90,97,3.56,ID,1624134200
117,cherskiy,68.75,161.3,52.57,55,100,11.5,RU,1624134200
118,lagoa,39.05,-27.9833,67.23,93,1,16.67,PT,1624134201
119,rawson,-43.3002,-65.1023,48.79,52,4,15.32,AR,1624134201
120,waipawa,-41.4122,175.5153,50.63,97,100,11.43,NZ,1624134202
121,mandalgovi,45.7625,106.2708,60.96,40,94,6.26,MN,1624134202
122,vila franca do campo,37.7167,-25.4333,68.41,86,43,10.54,PT,1624134203
123,isangel,-19.55,169.2667,76.21,85,72,6.11,VU,1624134203
124,puerto ayora,-0.7393,-90.3518,80.56,88,69,10.0,EC,1624134101
125,grand forks,47.9417,-97.4337,76.78,36,75,11.5,US,1624134204
126,atambua,-9.1061,124.8925,70.7,90,87,4.68,ID,1624134204
127,garowe,8.4054,48.4845,80.78,53,59,24.99,SO,1624134204
128,tessalit,20.1986,1.0114,97.52,5,0,5.82,ML,1624134205
129,mpika,-11.8343,31.4529,58.71,64,88,7.54,ZM,1624134205
130,adrar,20.5022,-10.0711,90.48,14,0,11.68,MR,1624134206
131,srednekolymsk,67.45,153.6833,55.24,43,100,6.71,RU,1624134206
132,nasirabad,26.3,74.7333,82.51,61,81,8.9,IN,1624134206
133,havre-saint-pierre,50.2334,-63.5986,55.76,88,90,8.05,CA,1624134207
134,verkhnetulomskiy,68.6073,31.7962,51.93,79,100,5.46,RU,1624133953
135,porto velho,-8.7619,-63.9039,75.25,88,90,3.44,BR,1624134208
136,hermanus,-34.4187,19.2345,56.8,47,19,7.67,ZA,1624134208
137,mayo,38.8876,-76.5119,88.05,55,1,8.05,US,1624134208
138,provideniya,64.3833,-173.3,54.79,58,23,3.09,RU,1624134209
139,bathsheba,13.2167,-59.5167,86.61,66,40,14.97,BB,1624134209
140,manadhoo,5.7667,73.3833,82.72,75,84,15.43,MV,1624134210
141,luanda,-8.8368,13.2343,75.2,83,20,9.22,AO,1624134003
142,labrea,-7.2586,-64.7981,87.73,57,86,2.98,BR,1624134210
143,launceston,-41.45,147.1667,37.15,100,10,1.14,AU,1624134211
144,peniche,39.3558,-9.3811,63.63,83,100,8.93,PT,1624134211
145,derzhavinsk,51.1,66.3167,58.32,59,96,7.49,KZ,1624134212
146,igrim,63.1906,64.4162,53.89,97,100,9.89,RU,1624134212
147,piacabucu,-10.4056,-36.4344,77.0,69,13,10.36,BR,1624134212
148,pokhara,28.2333,83.9833,70.92,90,100,0.76,NP,1624134213
149,astana,51.1801,71.446,49.95,66,0,11.18,KZ,1624134179
150,ancud,-41.8697,-73.8203,48.22,79,90,4.85,CL,1624134213
151,middelkerke,51.1558,2.8418,64.0,92,75,10.36,BE,1624134214
152,barabash,43.2,131.4833,56.88,89,99,5.97,RU,1624134214
153,sangar,63.9242,127.4739,62.96,51,37,1.25,RU,1624134215
154,mitu,1.1983,-70.1733,80.49,92,47,2.28,CO,1624134215
155,nanortalik,60.1432,-45.2371,42.78,81,100,13.56,GL,1624134216
156,moose factory,51.2585,-80.6094,64.4,45,1,8.05,CA,1624134216
157,gelemso,8.8167,40.5167,60.67,86,98,15.17,ET,1624134216
158,novo oriente,-5.5344,-40.7742,87.1,38,87,10.22,BR,1624134217
159,ampanihy,-24.7,44.75,64.69,79,28,13.98,MG,1624134217
160,kieta,-6.2167,155.6333,76.93,82,4,2.64,PG,1624134218
161,tagusao,9.1924,117.8141,80.73,82,100,9.78,PH,1624134218
162,tari,12.4086,4.4914,93.09,38,68,4.52,NG,1624134219
163,bluff,-46.6,168.3333,30.79,89,13,8.66,NZ,1624134219
164,saint-jacques,45.9501,-73.5659,78.87,46,21,10.36,CA,1624134220
165,nara,34.6851,135.8049,69.08,82,75,1.59,JP,1624134220
166,ust-koksa,50.2696,85.6108,52.84,88,58,1.9,RU,1624134220
167,santa cruz,-17.8,-63.1667,55.45,71,75,13.8,BO,1624134221
168,ixtapa,20.7,-105.2,85.23,66,90,4.61,MX,1624134221
169,aldan,58.6031,125.3894,60.28,89,92,3.42,RU,1624134222
170,manzanillo,20.3433,-77.1167,86.9,67,81,1.21,CU,1624134222
171,jinka,5.65,36.65,65.25,73,73,1.88,ET,1624134223
172,baherden,38.4362,57.4316,86.0,19,0,6.33,TM,1624134223
173,saint george,37.1041,-113.5841,108.79,12,1,1.01,US,1624134223
174,tazmalt,36.3868,4.3989,79.57,54,34,3.38,DZ,1624134224
175,ostrovnoy,68.0531,39.5131,48.52,80,39,8.03,RU,1624134224
176,mankera,31.3866,71.4407,97.54,22,0,11.07,PK,1624134225
177,itamaraca,-7.7478,-34.8256,77.68,80,20,14.09,BR,1624134225
178,ngemplak,-7.5497,110.7164,73.56,95,100,4.09,ID,1624134226
179,beringovskiy,63.05,179.3167,42.24,89,98,6.44,RU,1624134226
180,los llanos de aridane,28.6585,-17.9182,65.95,74,20,16.11,ES,1624134227
181,xinye,32.5186,112.3522,68.4,74,98,6.55,CN,1624134227
182,awbari,26.5921,12.7805,92.34,15,0,7.74,LY,1624134228
183,salinopolis,-0.6136,-47.3561,82.2,76,100,11.41,BR,1624134228
184,springbok,-29.6643,17.8865,62.17,29,1,6.93,ZA,1624134228
